gene_fusion,count,cell_lines_found_in
CAPZB--LINC02241,0,[]
AC006453.1--FAM230C,0,[]
PDS5B--AL159156.1,0,[]
PDXDC2P--AC009060.1,0,[]
KCNQ3--PCAT1,0,[]
TRIO--LINC02142,0,[]
AL391840.3--SH3BGRL2,0,[]
AC011586.2--MSR1,0,[]
AC073529.1--MID1,0,[]
AL353138.1--PTCHD4,0,[]
AC139887.1--CPLX1,0,[]
CDH13--AC073968.2,0,[]
ARNTL2--AC010197.1,0,[]
USP45--FAXC,0,[]
AC068756.1--AC108690.1,0,[]
CASC19--CASC8,0,[]
UBA2--GPI,0,[]
FO393400.1--NOL4L,0,[]
CNRIP1--AC017083.3,0,[]
CDCA5--LINC01986,0,[]
AC010642.2--DPRX,0,[]
RPA1--SMYD4,0,[]
TXNDC11--LITAF,0,[]
BABAM2--DPYSL5,0,[]
HBEGF--AC008438.2,0,[]
SMG1P3--GNPTG,0,[]
LPP--AC022498.1,0,[]
GPHN--MPP5,0,[]
TBC1D5--PLCL2-AS1,0,[]
AC106741.1--AC106729.1,0,[]
AL133342.1--PREX1,0,[]
AC068658.1--LINC01184,0,[]
ST14--LINC01184,0,[]
CASC19--AC018714.2,0,[]
SLC12A2--CCDC192,0,[]
AC004009.1--AC007130.1,0,[]
CREBL2--FAM234B,0,[]
USP12--LINC02340,0,[]
ABHD12--PYGB,0,[]
ATP2C1--LINC01208,0,[]
FAM120B--PRKN,0,[]
DDX5--AP005717.2,0,[]
PRKDC--AC111149.2,0,[]
MYO18A--AF228727.1,0,[]
DDX5--AC233699.1,0,[]
HOXC6--AC023794.1,0,[]
PPP1R16A--ZFPM2-AS1,0,[]
TAOK1--LINC02071,0,[]
SRCIN1--AC233699.1,0,[]
NFE2L1--TOP1MT,0,[]
AC068025.2--PCGF2,0,[]
PPM1D--RAD54B,0,[]
ZFPM2-AS1--SLC13A2,0,[]
BCAS3--TMEM71,0,[]
AC124319.1--TACC1,0,[]
ERBB2--BCAS3,0,[]
PHF20L1--AC068413.1,0,[]
SMURF2--DDX5,0,[]
LINC02643--NEBL,0,[]
IL1RAPL1--AC005185.1,0,[]
AC124319.1--BAIAP2,0,[]
CCDC18-AS1--EVI5,0,[]
CEMIP--AC015712.1,0,[]
RAB14--C5,0,[]
LMNTD2--SLC1A2,0,[]
SLC33A1--PLCH1,0,[]
POU2F2--FRG1KP,0,[]
RTRAF--SLC25A21,0,[]
CASP7--PLEKHS1,0,[]
AC245140.2--TKTL1,0,[]
LDLR--AL451067.1,0,[]
ARRDC1--EHMT1,0,[]
AP003327.2--AP003500.1,0,[]
MIA2--GEMIN2,0,[]
ANKRD40--ANKRD40CL,0,[]
CDK13--SUGCT,0,[]
